model,epsilon,accuracy,macro_f1,macro_recall,attack_success_rate,avg_confidence,orig_avg_confidence,confidence_drop,recall_clean_S,recall_adv_S,recall_clean_V,recall_adv_V,recall_clean_F,recall_adv_F
LSTM,0.0,0.9714964370546318,0.8691449424281548,0.873435698257061,0.0,0.9764848947525024,0.9764848947525024,0.0,0.6726618705035972,0.6726618705035972,0.9613259668508287,0.9613259668508287,0.7654320987654321,0.7654320987654321
LSTM,0.02,0.9564681162068336,0.8189370482404932,0.835509639189502,0.015516268572503291,0.9658210873603821,0.9764848947525024,0.010663825087249279,0.6726618705035972,0.6330935251798561,0.9613259668508287,0.9330110497237569,0.7654320987654321,0.6728395061728395
LSTM,0.05,0.9332632925269505,0.7197861452687986,0.7256391443173004,0.039589994357720516,0.9522700309753418,0.9764848947525024,0.024214914068579674,0.6726618705035972,0.5071942446043165,0.9613259668508287,0.8577348066298343,0.7654320987654321,0.35185185185185186
BiLSTM,0.0,0.9667458432304038,0.861633633421202,0.8731157906955831,0.0,0.9588949680328369,0.9588949680328369,0.0,0.7697841726618705,0.7697841726618705,0.9426795580110497,0.9426795580110497,0.691358024691358,0.691358024691358
BiLSTM,0.02,0.9321670016444363,0.773249662492992,0.8229410362523281,0.035768285768285765,0.933976948261261,0.9588949680328369,0.024918029084801674,0.7697841726618705,0.7122302158273381,0.9426795580110497,0.8970994475138122,0.691358024691358,0.5864197530864198
BiLSTM,0.05,0.8777178878128997,0.6770071876938738,0.7489820652446891,0.09213759213759214,0.8994681239128113,0.9588949680328369,0.05942684784531593,0.7697841726618705,0.6384892086330936,0.9426795580110497,0.8308011049723757,0.691358024691358,0.42592592592592593
HMR-BiLSTM,0.0,0.9748766672757172,0.8824864632167984,0.9146363517213706,0.0,0.935391902923584,0.935391902923584,0.0,0.8111510791366906,0.8111510791366906,0.9447513812154696,0.9447513812154696,0.845679012345679,0.845679012345679
HMR-BiLSTM,0.02,0.9637310433034899,0.8424519246365308,0.8930537125502921,0.011432855402492738,0.91798996925354,0.935391902923584,0.017402030527591705,0.8111510791366906,0.7841726618705036,0.9447513812154696,0.9267955801104972,0.845679012345679,0.7962962962962963
HMR-BiLSTM,0.05,0.9417138680796638,0.7825219190761089,0.8662390175343336,0.034017430418892325,0.8904448747634888,0.935391902923584,0.044947005808353424,0.8111510791366906,0.7464028776978417,0.9447513812154696,0.8922651933701657,0.845679012345679,0.7654320987654321
